period,subba,subba-name,parent,parent-name,value,value-units
2024-01-01T23,ZONB,Genesee,NYIS,New York Independent System Operator,1275,megawatthours
2024-01-01T23,ZONA,West,NYIS,New York Independent System Operator,1921,megawatthours
2024-01-01T23,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",17865,megawatthours
2024-01-01T23,35,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",10314,megawatthours
2024-01-01T23,27,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17198,megawatthours
2024-01-01T23,6,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",9868,megawatthours
2024-01-01T23,4,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",5097,megawatthours
2024-01-01T23,1,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",11432,megawatthours
2024-01-01T23,SOUT,South,ERCO,"Electric Reliability Council of Texas, Inc.",3335,megawatthours
2024-01-01T23,SCEN,South Central,ERCO,"Electric Reliability Council of Texas, Inc.",6864,megawatthours
2024-01-01T23,NCEN,North Central,ERCO,"Electric Reliability Council of Texas, Inc.",12430,megawatthours
2024-01-01T23,NRTH,North,ERCO,"Electric Reliability Council of Texas, Inc.",1410,megawatthours
2024-01-01T23,FWES,Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6164,megawatthours
2024-01-01T23,WEST,West,ERCO,"Electric Reliability Council of Texas, Inc.",1263,megawatthours
2024-01-01T23,EAST,East,ERCO,"Electric Reliability Council of Texas, Inc.",1856,megawatthours
2024-01-01T23,COAS,Coast,ERCO,"Electric Reliability Council of Texas, Inc.",11029,megawatthours
2024-01-01T23,VEA,Valley Electric Association,CISO,California Independent System Operator,92,megawatthours
2024-01-01T23,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,1499,megawatthours
2024-01-01T23,SCE,Southern California Edison,CISO,California Independent System Operator,9294,megawatthours
2024-01-01T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8817,megawatthours
2024-01-01T22,WR,Westar Energy,SWPP,Southwest Power Pool,3369,megawatthours
2024-01-01T22,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,1084,megawatthours
2024-01-01T22,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,4205,megawatthours
2024-01-01T22,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,3395,megawatthours
2024-01-01T22,SPRM,City of Springfield,SWPP,Southwest Power Pool,350,megawatthours
2024-01-01T22,SECI,Sunflower Electric,SWPP,Southwest Power Pool,612,megawatthours
2024-01-01T22,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,1490,megawatthours
2024-01-01T22,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,3644,megawatthours
2024-01-01T22,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,1809,megawatthours
2024-01-01T22,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,949,megawatthours
2024-01-01T22,LES,Lincoln Electric System,SWPP,Southwest Power Pool,376,megawatthours
2024-01-01T22,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,1741,megawatthours
2024-01-01T22,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,242,megawatthours
2024-01-01T22,INDN,Independence Power & Light,SWPP,Southwest Power Pool,107,megawatthours
2024-01-01T22,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,777,megawatthours
2024-01-01T22,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,621,megawatthours
2024-01-01T22,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,4895,megawatthours
2024-01-01T22,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,21,megawatthours
2024-01-01T22,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,283,megawatthours
2024-01-01T22,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1032,megawatthours
2024-01-01T22,NTUA,Navajo Tribal Utility Authority,PNM,Public Service Company of New Mexico,32,megawatthours
2024-01-01T22,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,74,megawatthours
2024-01-01T22,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,42,megawatthours
2024-01-01T22,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,44,megawatthours
2024-01-01T22,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,2,megawatthours
2024-01-01T22,Frep,Freeport,PNM,Public Service Company of New Mexico,79,megawatthours
2024-01-01T22,RECO,Rockland Electric (East) zone,PJM,"PJM Interconnection, LLC",161,megawatthours
2024-01-01T22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",4805,megawatthours
2024-01-01T22,PN,Pennsylvania Electric zone,PJM,"PJM Interconnection, LLC",2070,megawatthours
2024-01-01T22,PL,Pennsylvania Power & Light zone,PJM,"PJM Interconnection, LLC",4930,megawatthours
2024-01-01T22,PEP,Potomac Electric Power zone,PJM,"PJM Interconnection, LLC",3630,megawatthours
2024-01-01T22,PE,PECO Energy zone,PJM,"PJM Interconnection, LLC",4526,megawatthours
2024-01-01T22,ME,Metropolitan Edison zone,PJM,"PJM Interconnection, LLC",1784,megawatthours
2024-01-01T22,JC,Jersey Central Power & Light zone,PJM,"PJM Interconnection, LLC",2575,megawatthours
2024-01-01T22,EKPC,East Kentucky Power Cooperative zone,PJM,"PJM Interconnection, LLC",2101,megawatthours
