period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-01-01T23,CPLE,Duke Energy Progress East,SUN,Solar,27,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,NG,Natural gas,442,megawatthours
2024-01-01T23,CAL,California,WND,Wind,465,megawatthours
2024-01-01T23,TEX,Texas,WAT,Hydro,18,megawatthours
2024-01-01T23,CPLW,Duke Energy Progress West,NG,Natural gas,360,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",NG,Natural gas,15327,megawatthours
2024-01-01T23,GRID,"Gridforce Energy Management, LLC",SUN,Solar,35,megawatthours
2024-01-01T23,CPLE,Duke Energy Progress East,NG,Natural gas,1692,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,COL,Coal,228,megawatthours
2024-01-01T23,TEN,Tennessee,OTH,Other,23,megawatthours
2024-01-01T23,FLA,Florida,SUN,Solar,160,megawatthours
2024-01-01T23,NE,New England,SUN,Solar,1,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",COL,Coal,0,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",NG,Natural gas,1200,megawatthours
2024-01-01T23,CHPD,Public Utility District No. 1 of Chelan County,WAT,Hydro,829,megawatthours
2024-01-01T23,JEA,JEA,OTH,Other,4,megawatthours
2024-01-01T23,LDWP,Los Angeles Department of Water and Power,WAT,Hydro,28,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",OIL,Petroleum,0,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",NG,Natural gas,45358,megawatthours
2024-01-01T23,TEX,Texas,NG,Natural gas,20710,megawatthours
2024-01-01T23,HST,City of Homestead,NG,Natural gas,0,megawatthours
2024-01-01T23,FLA,Florida,OTH,Other,3244,megawatthours
2024-01-01T23,CENT,Central,COL,Coal,9137,megawatthours
2024-01-01T23,TEX,Texas,NUC,Nuclear,5115,megawatthours
2024-01-01T23,NE,New England,WND,Wind,63,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,18,megawatthours
2024-01-01T23,SE,Southeast,NG,Natural gas,15327,megawatthours
2024-01-01T23,FLA,Florida,WAT,Hydro,39,megawatthours
2024-01-01T23,SEC,Seminole Electric Cooperative,SUN,Solar,0,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,OTH,Other,17,megawatthours
2024-01-01T23,NE,New England,NG,Natural gas,7559,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,NUC,Nuclear,131,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",OIL,Petroleum,-2,megawatthours
2024-01-01T23,BANC,Balancing Authority of Northern California,WAT,Hydro,245,megawatthours
2024-01-01T23,JEA,JEA,SUN,Solar,0,megawatthours
2024-01-01T23,US48,United States Lower 48,COL,Coal,84517,megawatthours
2024-01-01T23,FPL,Florida Power & Light Co.,OIL,Petroleum,0,megawatthours
2024-01-01T23,NWMT,NorthWestern Corporation,NG,Natural gas,41,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,7278,megawatthours
2024-01-01T23,SEC,Seminole Electric Cooperative,COL,Coal,275,megawatthours
2024-01-01T23,PGE,Portland General Electric Company,OTH,Other,10,megawatthours
2024-01-01T23,TIDC,Turlock Irrigation District,NG,Natural gas,129,megawatthours
2024-01-01T23,CENT,Central,NG,Natural gas,10363,megawatthours
2024-01-01T23,FLA,Florida,NG,Natural gas,14761,megawatthours
2024-01-01T23,PACW,PacifiCorp West,SUN,Solar,228,megawatthours
2024-01-01T23,MIDW,Midwest,NG,Natural gas,29747,megawatthours
2024-01-01T23,FPC,"Duke Energy Florida, Inc.",OTH,Other,82,megawatthours
2024-01-01T23,CAR,Carolinas,NUC,Nuclear,12065,megawatthours
2024-01-01T23,SW,Southwest,COL,Coal,2313,megawatthours
2024-01-01T23,YAD,"Alcoa Power Generating, Inc. - Yadkin Division",WAT,Hydro,159,megawatthours
2024-01-01T23,GCPD,"Public Utility District No. 2 of Grant County, Washington",WAT,Hydro,978,megawatthours
2024-01-01T23,MIDW,Midwest,WAT,Hydro,938,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",NUC,Nuclear,992,megawatthours
2024-01-01T23,WALC,Western Area Power Administration - Desert Southwest Region,WND,Wind,61,megawatthours
2024-01-01T23,DUK,Duke Energy Carolinas,SUN,Solar,4,megawatthours
2024-01-01T23,FPC,"Duke Energy Florida, Inc.",NG,Natural gas,4118,megawatthours
2024-01-01T23,CISO,California Independent System Operator,WAT,Hydro,836,megawatthours
2024-01-01T23,CPLE,Duke Energy Progress East,OIL,Petroleum,0,megawatthours
2024-01-01T23,SW,Southwest,NUC,Nuclear,4013,megawatthours
2024-01-01T23,BPAT,Bonneville Power Administration,SUN,Solar,15,megawatthours
2024-01-01T23,CAR,Carolinas,OTH,Other,1296,megawatthours
2024-01-01T23,TEPC,Tucson Electric Power,NG,Natural gas,491,megawatthours
2024-01-01T23,US48,United States Lower 48,WND,Wind,27940,megawatthours
2024-01-01T23,CPLW,Duke Energy Progress West,OTH,Other,178,megawatthours
2024-01-01T23,CENT,Central,OTH,Other,47,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,NG,Natural gas,1709,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,WAT,Hydro,5059,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,COL,Coal,15872,megawatthours
2024-01-01T23,CAL,California,OTH,Other,-2262,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",SUN,Solar,12,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,NUC,Nuclear,32644,megawatthours
2024-01-01T23,NW,Northwest,WND,Wind,2791,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,8219,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,WND,Wind,1,megawatthours
2024-01-01T23,CAR,Carolinas,OIL,Petroleum,0,megawatthours
2024-01-01T23,NWMT,NorthWestern Corporation,OIL,Petroleum,22,megawatthours
2024-01-01T23,BPAT,Bonneville Power Administration,WAT,Hydro,6325,megawatthours
2024-01-01T23,CAL,California,NUC,Nuclear,2244,megawatthours
2024-01-01T23,WACM,Western Area Power Administration - Rocky Mountain Region,COL,Coal,3129,megawatthours
2024-01-01T23,US48,United States Lower 48,OTH,Other,6186,megawatthours
2024-01-01T23,NWMT,NorthWestern Corporation,WND,Wind,771,megawatthours
2024-01-01T23,US48,United States Lower 48,OIL,Petroleum,300,megawatthours
2024-01-01T23,NW,Northwest,NUC,Nuclear,1153,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",OTH,Other,1077,megawatthours
2024-01-01T23,PSCO,Public Service Company of Colorado,NG,Natural gas,1967,megawatthours
2024-01-01T23,PACW,PacifiCorp West,WND,Wind,-1,megawatthours
2024-01-01T23,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,181,megawatthours
2024-01-01T23,SEC,Seminole Electric Cooperative,NG,Natural gas,1119,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,WAT,Hydro,1,megawatthours
2024-01-01T23,FPL,Florida Power & Light Co.,OTH,Other,3141,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,SUN,Solar,0,megawatthours
2024-01-01T23,LDWP,Los Angeles Department of Water and Power,COL,Coal,220,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",WND,Wind,1876,megawatthours
2024-01-01T23,WACM,Western Area Power Administration - Rocky Mountain Region,WND,Wind,171,megawatthours
2024-01-01T23,GVL,Gainesville Regional Utilities,COL,Coal,0,megawatthours
2024-01-01T23,NW,Northwest,OTH,Other,1157,megawatthours
2024-01-01T23,PACW,PacifiCorp West,WAT,Hydro,259,megawatthours
2024-01-01T23,MIDW,Midwest,NUC,Nuclear,8219,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,OTH,Other,555,megawatthours
2024-01-01T23,AVRN,"Avangrid Renewables, LLC",SUN,Solar,0,megawatthours
2024-01-01T23,MIDW,Midwest,OTH,Other,322,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",WAT,Hydro,5059,megawatthours
2024-01-01T23,DUK,Duke Energy Carolinas,OTH,Other,10,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",SUN,Solar,164,megawatthours
2024-01-01T23,PSCO,Public Service Company of Colorado,COL,Coal,1768,megawatthours
2024-01-01T23,AVA,Avista Corporation,OTH,Other,130,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",OIL,Petroleum,213,megawatthours
2024-01-01T23,CAL,California,SUN,Solar,10690,megawatthours
2024-01-01T23,CPLE,Duke Energy Progress East,OTH,Other,1034,megawatthours
2024-01-01T23,TEN,Tennessee,NUC,Nuclear,8551,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",OTH,Other,334,megawatthours
2024-01-01T23,WAUW,Western Area Power Administration - Upper Great Plains West,WAT,Hydro,63,megawatthours
2024-01-01T23,SRP,Salt River Project Agricultural Improvement and Power District,COL,Coal,354,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,SUN,Solar,3,megawatthours
2024-01-01T23,SCL,Seattle City Light,WAT,Hydro,401,megawatthours
2024-01-01T23,GVL,Gainesville Regional Utilities,NG,Natural gas,157,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,322,megawatthours
2024-01-01T23,NW,Northwest,COL,Coal,8009,megawatthours
2024-01-01T23,AVRN,"Avangrid Renewables, LLC",WND,Wind,28,megawatthours
2024-01-01T23,NY,New York,NUC,Nuclear,3337,megawatthours
2024-01-01T23,CISO,California Independent System Operator,WND,Wind,452,megawatthours
2024-01-01T23,FPC,"Duke Energy Florida, Inc.",SUN,Solar,30,megawatthours
2024-01-01T23,JEA,JEA,OIL,Petroleum,0,megawatthours
2024-01-01T23,SE,Southeast,SUN,Solar,164,megawatthours
2024-01-01T23,CENT,Central,WAT,Hydro,1155,megawatthours
2024-01-01T23,SC,South Carolina Public Service Authority,COL,Coal,1424,megawatthours
2024-01-01T23,SE,Southeast,OTH,Other,334,megawatthours
2024-01-01T23,JEA,JEA,COL,Coal,332,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,OIL,Petroleum,0,megawatthours
2024-01-01T23,PSCO,Public Service Company of Colorado,OIL,Petroleum,0,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",WND,Wind,0,megawatthours
2024-01-01T23,LDWP,Los Angeles Department of Water and Power,SUN,Solar,677,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",NUC,Nuclear,6505,megawatthours
2024-01-01T23,CENT,Central,OIL,Petroleum,0,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",COL,Coal,3377,megawatthours
2024-01-01T23,FPC,"Duke Energy Florida, Inc.",OIL,Petroleum,0,megawatthours
2024-01-01T23,MIDW,Midwest,WND,Wind,10304,megawatthours
2024-01-01T23,CISO,California Independent System Operator,NUC,Nuclear,2244,megawatthours
2024-01-01T23,TVA,Tennessee Valley Authority,OTH,Other,23,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",NUC,Nuclear,32644,megawatthours
2024-01-01T23,TEX,Texas,WND,Wind,3393,megawatthours
2024-01-01T23,BPAT,Bonneville Power Administration,WND,Wind,5,megawatthours
2024-01-01T23,NY,New York,OTH,Other,208,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,WND,Wind,1876,megawatthours
2024-01-01T23,PGE,Portland General Electric Company,WND,Wind,0,megawatthours
2024-01-01T23,NE,New England,NUC,Nuclear,3351,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,COL,Coal,318,megawatthours
2024-01-01T23,FLA,Florida,COL,Coal,1047,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,COL,Coal,1176,megawatthours
2024-01-01T23,ISNE,ISO New England,COL,Coal,0,megawatthours
2024-01-01T23,SC,South Carolina Public Service Authority,WAT,Hydro,-1,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,OIL,Petroleum,0,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,WAT,Hydro,757,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",WND,Wind,52,megawatthours
2024-01-01T23,JEA,JEA,NG,Natural gas,595,megawatthours
2024-01-01T23,TVA,Tennessee Valley Authority,NUC,Nuclear,8551,megawatthours
2024-01-01T23,BPAT,Bonneville Power Administration,OTH,Other,183,megawatthours
2024-01-01T23,TAL,City of Tallahassee,SUN,Solar,1,megawatthours
2024-01-01T23,NW,Northwest,SUN,Solar,3500,megawatthours
2024-01-01T23,CENT,Central,WND,Wind,8119,megawatthours
2024-01-01T23,FPL,Florida Power & Light Co.,SUN,Solar,126,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,WND,Wind,8119,megawatthours
2024-01-01T23,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,WAT,Hydro,61,megawatthours
2024-01-01T23,NWMT,NorthWestern Corporation,WAT,Hydro,436,megawatthours
2024-01-01T23,TVA,Tennessee Valley Authority,COL,Coal,3101,megawatthours
2024-01-01T23,SE,Southeast,WAT,Hydro,249,megawatthours
2024-01-01T23,SRP,Salt River Project Agricultural Improvement and Power District,SUN,Solar,102,megawatthours
2024-01-01T23,HGMA,"New Harquahala Generating Company, LLC",NG,Natural gas,-5,megawatthours
2024-01-01T23,PACE,PacifiCorp East,SUN,Solar,1004,megawatthours
2024-01-01T23,WALC,Western Area Power Administration - Desert Southwest Region,SUN,Solar,64,megawatthours
2024-01-01T23,AVA,Avista Corporation,SUN,Solar,1,megawatthours
2024-01-01T23,CPLW,Duke Energy Progress West,COL,Coal,0,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",WAT,Hydro,161,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,OTH,Other,29,megawatthours
2024-01-01T23,TEPC,Tucson Electric Power,COL,Coal,465,megawatthours
2024-01-01T23,TEN,Tennessee,COL,Coal,3101,megawatthours
2024-01-01T23,NW,Northwest,NG,Natural gas,10605,megawatthours
2024-01-01T23,NY,New York,COL,Coal,0,megawatthours
2024-01-01T23,EPE,El Paso Electric Company,SUN,Solar,44,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",NUC,Nuclear,5115,megawatthours
2024-01-01T23,SW,Southwest,OTH,Other,33,megawatthours
2024-01-01T23,IPCO,Idaho Power Company,WND,Wind,3,megawatthours
2024-01-01T23,PGE,Portland General Electric Company,COL,Coal,0,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,NG,Natural gas,296,megawatthours
2024-01-01T23,TVA,Tennessee Valley Authority,WND,Wind,2,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,NUC,Nuclear,2042,megawatthours
2024-01-01T23,SEPA,Southeastern Power Administration,WAT,Hydro,35,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,WAT,Hydro,0,megawatthours
2024-01-01T23,PSCO,Public Service Company of Colorado,WAT,Hydro,11,megawatthours
2024-01-01T23,TVA,Tennessee Valley Authority,WAT,Hydro,2768,megawatthours
2024-01-01T23,PACE,PacifiCorp East,WND,Wind,893,megawatthours
2024-01-01T23,NY,New York,OIL,Petroleum,21,megawatthours
2024-01-01T23,NY,New York,WND,Wind,53,megawatthours
2024-01-01T23,TEX,Texas,COL,Coal,7622,megawatthours
2024-01-01T23,SC,South Carolina Public Service Authority,OTH,Other,74,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,OIL,Petroleum,21,megawatthours
2024-01-01T23,SE,Southeast,OIL,Petroleum,-2,megawatthours
2024-01-01T23,WALC,Western Area Power Administration - Desert Southwest Region,NG,Natural gas,556,megawatthours
2024-01-01T23,TEN,Tennessee,WAT,Hydro,2768,megawatthours
2024-01-01T23,SE,Southeast,COL,Coal,3377,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,23317,megawatthours
2024-01-01T23,GRID,"Gridforce Energy Management, LLC",NG,Natural gas,1547,megawatthours
2024-01-01T23,TEPC,Tucson Electric Power,WND,Wind,79,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,7622,megawatthours
2024-01-01T23,NW,Northwest,WAT,Hydro,11851,megawatthours
2024-01-01T23,PGE,Portland General Electric Company,WAT,Hydro,188,megawatthours
2024-01-01T23,PACW,PacifiCorp West,OTH,Other,53,megawatthours
2024-01-01T23,CAL,California,NG,Natural gas,10676,megawatthours
2024-01-01T23,ISNE,ISO New England,SUN,Solar,1,megawatthours
2024-01-01T23,PACE,PacifiCorp East,OTH,Other,144,megawatthours
2024-01-01T23,IPCO,Idaho Power Company,WAT,Hydro,471,megawatthours
2024-01-01T23,CENT,Central,SUN,Solar,107,megawatthours
2024-01-01T23,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",WAT,Hydro,327,megawatthours
2024-01-01T23,TEN,Tennessee,OIL,Petroleum,0,megawatthours
2024-01-01T23,FPC,"Duke Energy Florida, Inc.",WAT,Hydro,39,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,COL,Coal,9137,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",WAT,Hydro,214,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",OTH,Other,26,megawatthours
2024-01-01T23,DUK,Duke Energy Carolinas,NUC,Nuclear,7370,megawatthours
2024-01-01T23,DUK,Duke Energy Carolinas,WAT,Hydro,780,megawatthours
2024-01-01T23,SC,South Carolina Public Service Authority,OIL,Petroleum,0,megawatthours
2024-01-01T23,GRID,"Gridforce Energy Management, LLC",COL,Coal,0,megawatthours
2024-01-01T23,BANC,Balancing Authority of Northern California,OTH,Other,15,megawatthours
2024-01-01T23,CISO,California Independent System Operator,NG,Natural gas,9027,megawatthours
2024-01-01T23,SRP,Salt River Project Agricultural Improvement and Power District,NUC,Nuclear,4013,megawatthours
2024-01-01T23,CAR,Carolinas,WAT,Hydro,1078,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,WND,Wind,53,megawatthours
2024-01-01T23,DEAA,"Arlington Valley, LLC",NG,Natural gas,452,megawatthours
2024-01-01T23,NWMT,NorthWestern Corporation,SUN,Solar,25,megawatthours
2024-01-01T23,ISNE,ISO New England,OTH,Other,519,megawatthours
2024-01-01T23,TIDC,Turlock Irrigation District,WAT,Hydro,11,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",WAT,Hydro,74,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,NG,Natural gas,10363,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,NG,Natural gas,45358,megawatthours
2024-01-01T23,BPAT,Bonneville Power Administration,NUC,Nuclear,1153,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,27842,megawatthours
2024-01-01T23,EPE,El Paso Electric Company,NG,Natural gas,382,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,SUN,Solar,12,megawatthours
2024-01-01T23,CPLW,Duke Energy Progress West,SUN,Solar,0,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,10263,megawatthours
2024-01-01T23,WACM,Western Area Power Administration - Rocky Mountain Region,NG,Natural gas,435,megawatthours
2024-01-01T23,CHPD,Public Utility District No. 1 of Chelan County,WND,Wind,0,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,WND,Wind,103,megawatthours
2024-01-01T23,WACM,Western Area Power Administration - Rocky Mountain Region,WAT,Hydro,562,megawatthours
2024-01-01T23,TVA,Tennessee Valley Authority,SUN,Solar,5,megawatthours
2024-01-01T23,BANC,Balancing Authority of Northern California,NG,Natural gas,927,megawatthours
2024-01-01T23,CPLE,Duke Energy Progress East,NUC,Nuclear,3703,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,COL,Coal,114,megawatthours
2024-01-01T23,GRID,"Gridforce Energy Management, LLC",WND,Wind,341,megawatthours
2024-01-01T23,AECI,"Associated Electric Cooperative, Inc.",WND,Wind,41,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,WND,Wind,631,megawatthours
2024-01-01T23,AVA,Avista Corporation,WAT,Hydro,392,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",SUN,Solar,5,megawatthours
2024-01-01T23,MIDW,Midwest,SUN,Solar,196,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",COL,Coal,452,megawatthours
2024-01-01T23,CAL,California,WAT,Hydro,1120,megawatthours
2024-01-01T23,SW,Southwest,OIL,Petroleum,0,megawatthours
2024-01-01T23,SRP,Salt River Project Agricultural Improvement and Power District,OTH,Other,-2,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,OTH,Other,6,megawatthours
2024-01-01T23,TEN,Tennessee,NG,Natural gas,6532,megawatthours
2024-01-01T23,NE,New England,WAT,Hydro,2219,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,NG,Natural gas,1482,megawatthours
2024-01-01T23,LDWP,Los Angeles Department of Water and Power,NG,Natural gas,500,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,NUC,Nuclear,0,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,OTH,Other,47,megawatthours
2024-01-01T23,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUN,Solar,0,megawatthours
2024-01-01T23,CISO,California Independent System Operator,OIL,Petroleum,46,megawatthours
2024-01-01T23,SRP,Salt River Project Agricultural Improvement and Power District,WAT,Hydro,0,megawatthours
2024-01-01T23,TEX,Texas,SUN,Solar,7278,megawatthours
2024-01-01T23,CAR,Carolinas,COL,Coal,5263,megawatthours
2024-01-01T23,CISO,California Independent System Operator,OTH,Other,-2883,megawatthours
2024-01-01T23,IID,Imperial Irrigation District,WAT,Hydro,0,megawatthours
2024-01-01T23,MIDW,Midwest,OIL,Petroleum,0,megawatthours
2024-01-01T23,ISNE,ISO New England,NUC,Nuclear,3351,megawatthours
2024-01-01T23,SE,Southeast,NUC,Nuclear,6505,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",WND,Wind,3393,megawatthours
2024-01-01T23,NW,Northwest,OIL,Petroleum,22,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,NUC,Nuclear,0,megawatthours
2024-01-01T23,IID,Imperial Irrigation District,SUN,Solar,248,megawatthours
2024-01-01T23,SC,South Carolina Public Service Authority,NG,Natural gas,320,megawatthours
2024-01-01T23,FPL,Florida Power & Light Co.,NG,Natural gas,6965,megawatthours
2024-01-01T23,TEN,Tennessee,SUN,Solar,5,megawatthours
2024-01-01T23,WWA,"NaturEner Wind Watch, LLC",WND,Wind,37,megawatthours
2024-01-01T23,AVA,Avista Corporation,NG,Natural gas,374,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,SUN,Solar,175,megawatthours
2024-01-01T23,TAL,City of Tallahassee,NG,Natural gas,325,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",NG,Natural gas,914,megawatthours
2024-01-01T23,IPCO,Idaho Power Company,OTH,Other,56,megawatthours
2024-01-01T23,TEX,Texas,OTH,Other,188,megawatthours
2024-01-01T23,CAR,Carolinas,NG,Natural gas,6609,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,877,megawatthours
2024-01-01T23,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,OIL,Petroleum,0,megawatthours
2024-01-01T23,WALC,Western Area Power Administration - Desert Southwest Region,WAT,Hydro,70,megawatthours
2024-01-01T23,TEPC,Tucson Electric Power,SUN,Solar,78,megawatthours
2024-01-01T23,ISNE,ISO New England,WAT,Hydro,2219,megawatthours
2024-01-01T23,NE,New England,OTH,Other,519,megawatthours
2024-01-01T23,IID,Imperial Irrigation District,OTH,Other,495,megawatthours
2024-01-01T23,DUK,Duke Energy Carolinas,COL,Coal,3186,megawatthours
2024-01-01T23,NY,New York,SUN,Solar,0,megawatthours
2024-01-01T23,CAL,California,OIL,Petroleum,46,megawatthours
2024-01-01T23,MIDA,Mid-Atlantic,OIL,Petroleum,213,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,OTH,Other,208,megawatthours
2024-01-01T23,AZPS,Arizona Public Service Company,WAT,Hydro,0,megawatthours
2024-01-01T23,GWA,"NaturEner Power Watch, LLC",WND,Wind,18,megawatthours
2024-01-01T23,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,196,megawatthours
2024-01-01T23,BANC,Balancing Authority of Northern California,SUN,Solar,130,megawatthours
2024-01-01T23,AECI,"Associated Electric Cooperative, Inc.",COL,Coal,1945,megawatthours
2024-01-01T23,SW,Southwest,NG,Natural gas,3983,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,SUN,Solar,1285,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,NUC,Nuclear,3337,megawatthours
2024-01-01T23,CISO,California Independent System Operator,COL,Coal,0,megawatthours
2024-01-01T23,MIDW,Midwest,COL,Coal,28556,megawatthours
2024-01-01T23,BPAT,Bonneville Power Administration,NG,Natural gas,665,megawatthours
2024-01-01T23,CAR,Carolinas,SUN,Solar,38,megawatthours
2024-01-01T23,US48,United States Lower 48,NG,Natural gas,191092,megawatthours
2024-01-01T23,IPCO,Idaho Power Company,NG,Natural gas,537,megawatthours
2024-01-01T23,SWPP,Southwest Power Pool,SUN,Solar,107,megawatthours
2024-01-01T23,PACE,PacifiCorp East,COL,Coal,1377,megawatthours
2024-01-01T23,US48,United States Lower 48,WAT,Hydro,30648,megawatthours
2024-01-01T23,DOPD,PUD No. 1 of Douglas County,WAT,Hydro,391,megawatthours
2024-01-01T23,FPL,Florida Power & Light Co.,NUC,Nuclear,3786,megawatthours
2024-01-01T23,DUK,Duke Energy Carolinas,NG,Natural gas,3037,megawatthours
2024-01-01T23,CPLE,Duke Energy Progress East,COL,Coal,201,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,20710,megawatthours
2024-01-01T23,FLA,Florida,NUC,Nuclear,3917,megawatthours
2024-01-01T23,NWMT,NorthWestern Corporation,COL,Coal,1507,megawatthours
2024-01-01T23,GVL,Gainesville Regional Utilities,OTH,Other,0,megawatthours
2024-01-01T23,SE,Southeast,WND,Wind,0,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",OTH,Other,0,megawatthours
2024-01-01T23,SW,Southwest,SUN,Solar,596,megawatthours
2024-01-01T23,AECI,"Associated Electric Cooperative, Inc.",NG,Natural gas,1220,megawatthours
2024-01-01T23,SPA,Southwestern Power Administration,OTH,Other,0,megawatthours
2024-01-01T23,AVRN,"Avangrid Renewables, LLC",NG,Natural gas,283,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,SUN,Solar,133,megawatthours
2024-01-01T23,US48,United States Lower 48,SUN,Solar,22747,megawatthours
2024-01-01T23,TEPC,Tucson Electric Power,OTH,Other,0,megawatthours
2024-01-01T23,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,Natural gas,685,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,NG,Natural gas,8862,megawatthours
2024-01-01T23,NYIS,New York Independent System Operator,COL,Coal,0,megawatthours
2024-01-01T23,SW,Southwest,WAT,Hydro,70,megawatthours
2024-01-01T23,NY,New York,WAT,Hydro,4084,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,OIL,Petroleum,0,megawatthours
